drug_name,category
butylscopolamine and analgesics,Belladonna and derivatives in combination with analgesics
metoclopramide,Propulsives
cisapride,Propulsives
domperidone,Propulsives
bromopride,Propulsives
alizapride,Propulsives
clebopride,Propulsives
itopride,Propulsives
cinitapride,Propulsives
mosapride,Propulsives
ondansetron,Serotonin (5HT3) antagonists
granisetron,Serotonin (5HT3) antagonists
tropisetron,Serotonin (5HT3) antagonists
dolasetron,Serotonin (5HT3) antagonists
palonosetron,Serotonin (5HT3) antagonists
"palonosetron, combinations",Serotonin (5HT3) antagonists
scopolamine,Other antiemetics
cerium oxalate,Other antiemetics
chlorobutanol,Other antiemetics
metopimazine,Other antiemetics
dronabinol,Other antiemetics
nabilone,Other antiemetics
aprepitant,Other antiemetics
casopitant,Other antiemetics
rolapitant,Other antiemetics
"scopolamine, combinations",Other antiemetics
"chlorobutanol, combinations",Other antiemetics
chenodeoxycholic acid,Bile acids and derivatives
ursodeoxycholic acid,Bile acids and derivatives
cholic acid,Bile acids and derivatives
obeticholic acid,Bile acids and derivatives
nicotinyl methylamide,Preparations for biliary tract therapy
piprozolin,Other drugs for bile therapy
hymecromone,Other drugs for bile therapy
cyclobutyrol,Other drugs for bile therapy
arginine glutamate,Liver therapy
silymarin,Liver therapy
citiolone,Liver therapy
epomediol,Liver therapy
ornithine oxoglurate,Liver therapy
tidiacic arginine,Liver therapy
glycyrrhizic acid,Liver therapy
metadoxine,Liver therapy
liquid paraffin,"Softeners, emollients"
docusate sodium,"Softeners, emollients"
"liquid paraffin, combinations","Softeners, emollients"
oxyphenisatine,Contact laxatives
bisacodyl,Contact laxatives
dantron,Contact laxatives
phenolphthalein,Contact laxatives
castor oil,Contact laxatives
senna glycosides,Contact laxatives
cascara,Contact laxatives
sodium picosulfate,Contact laxatives
bisoxatin,Contact laxatives
contact laxatives in combination,Contact laxatives
contact laxatives in combination with belladonna alkaloids,Contact laxatives
"bisacodyl, combinations",Contact laxatives
"dantron, combinations",Contact laxatives
"senna glycosides, combinations",Contact laxatives
"cascara, combinations",Contact laxatives
"sodium picosulfate, combinations",Contact laxatives
ispaghula (psylla seeds),Bulk-forming laxatives
ethulose,Bulk-forming laxatives
sterculia,Bulk-forming laxatives
linseed,Bulk-forming laxatives
methylcellulose,Bulk-forming laxatives
triticum (wheat fibre),Bulk-forming laxatives
polycarbophil calcium,Bulk-forming laxatives
"ispaghula, combinations",Bulk-forming laxatives
"sterculia, combinations",Bulk-forming laxatives
"linseed, combinations",Bulk-forming laxatives
magnesium sulfate,Osmotically acting laxatives
mineral salts in combination,Osmotically acting laxatives
lactulose,Osmotically acting laxatives
lactitol,Osmotically acting laxatives
sodium sulfate,Osmotically acting laxatives
pentaerithrityl,Osmotically acting laxatives
macrogol,Osmotically acting laxatives
mannitol,Osmotically acting laxatives
sodium phosphate,Osmotically acting laxatives
sorbitol,Osmotically acting laxatives
magnesium citrate,Osmotically acting laxatives
sodium tartrate,Osmotically acting laxatives
"lactulose, combinations",Osmotically acting laxatives
"macrogol, combinations",Osmotically acting laxatives
"dantron, incl. combinations",Enemas
glycerol,Enemas
oil,Enemas
"docusate sodium, incl. combinations",Enemas
"sodium lauryl sulfoacetate, incl. combinations",Enemas
methylnaltrexone bromide,Peripheral opioid receptor antagonists
alvimopan,Peripheral opioid receptor antagonists
naloxegol,Peripheral opioid receptor antagonists
naloxone,Peripheral opioid receptor antagonists
naldemedine,Peripheral opioid receptor antagonists
carbon dioxide producing drugs,Other drugs for constipation
lubiprostone,Other drugs for constipation
linaclotide,Other drugs for constipation
prucalopride,Other drugs for constipation
tegaserod,Other drugs for constipation
plecanatide,Other drugs for constipation
tenapanor,Other drugs for constipation
nystatin,Antibiotics
streptomycin,Antibiotics
polymyxin b,Antibiotics
paromomycin,Antibiotics
kanamycin,Antibiotics
vancomycin,Antibiotics
colistin,Antibiotics
rifaximin,Antibiotics
fidaxomicin,Antibiotics
rifamycin,Antibiotics
"neomycin, combinations",Antibiotics
"streptomycin, combinations",Antibiotics
phthalylsulfathiazole,Sulfonamides
sulfaguanidine,Sulfonamides
succinylsulfathiazole,Sulfonamides
broxyquinoline,Other intestinal antiinfectives
acetarsol,Other intestinal antiinfectives
nifuroxazide,Other intestinal antiinfectives
nifurzide,Other intestinal antiinfectives
medicinal charcoal,Charcoal preparations
"medicinal charcoal, combinations",Charcoal preparations
pectin,Other intestinal adsorbents
kaolin,Other intestinal adsorbents
crospovidone,Other intestinal adsorbents
attapulgite,Other intestinal adsorbents
diosmectite,Other intestinal adsorbents
"attapulgite, combinations",Other intestinal adsorbents
diphenoxylate,Antipropulsives
opium,Antipropulsives
loperamide,Antipropulsives
difenoxin,Antipropulsives
loperamide oxide,Antipropulsives
eluxadoline,Antipropulsives
"morphine, combinations",Antipropulsives
"loperamide, combinations",Antipropulsives
prednisolone,Corticosteroids acting locally
prednisone,Corticosteroids acting locally
betamethasone,Corticosteroids acting locally
tixocortol,Corticosteroids acting locally
budesonide,Corticosteroids acting locally
beclometasone,Corticosteroids acting locally
cromoglicic acid,"Antiallergic agents, excl. corticosteroids"
sulfasalazine,Aminosalicylic acid and similar agents
mesalazine,Aminosalicylic acid and similar agents
olsalazine,Aminosalicylic acid and similar agents
balsalazide,Aminosalicylic acid and similar agents
lactic acid producing organisms,Antidiarrheal microorganisms
saccharomyces boulardii,Antidiarrheal microorganisms
"lactic acid producing organisms, combinations",Antidiarrheal microorganisms
albumin tannate,Other antidiarrheals
ceratonia,Other antidiarrheals
calcium compounds,Other antidiarrheals
racecadotril,Other antidiarrheals
crofelemer,Other antidiarrheals
"albumin tannate, combinations",Other antidiarrheals
phentermine,Centrally acting antiobesity products
fenfluramine,Centrally acting antiobesity products
amfepramone,Centrally acting antiobesity products
dexfenfluramine,Centrally acting antiobesity products
mazindol,Centrally acting antiobesity products
etilamfetamine,Centrally acting antiobesity products
cathine,Centrally acting antiobesity products
clobenzorex,Centrally acting antiobesity products
mefenorex,Centrally acting antiobesity products
sibutramine,Centrally acting antiobesity products
lorcaserin,Centrally acting antiobesity products
"ephedrine, combinations",Centrally acting antiobesity products
bupropion and naltrexone,Centrally acting antiobesity products
orlistat,Peripherally acting antiobesity products
rimonabant,Other antiobesity drugs
diastase,Enzyme preparations
"multienzymes (lipase, protease etc.)",Enzyme preparations
pepsin,Enzyme preparations
tilactase,Enzyme preparations
glutamic acid hydrochloride,Acid preparations
betaine hydrochloride,Acid preparations
hydrochloric acid,Acid preparations
citric acid,Acid preparations
pepsin and acid preparations,"Enzyme and acid preparations, combinations"
multienzymes and acid preparations,"Enzyme and acid preparations, combinations"
insulin (human),"Insulins and analogues for injection, fast-acting"
insulin (beef),"Insulins and analogues for injection, fast-acting"
insulin (pork),"Insulins and analogues for injection, fast-acting"
insulin lispro,"Insulins and analogues for injection, fast-acting"
insulin aspart,"Insulins and analogues for injection, fast-acting"
insulin glulisine,"Insulins and analogues for injection, fast-acting"
insulin degludec and insulin aspart,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
insulin glargine,"Insulins and analogues for injection, long-acting"
insulin detemir,"Insulins and analogues for injection, long-acting"
insulin degludec,"Insulins and analogues for injection, long-acting"
insulin glargine and lixisenatide,"Insulins and analogues for injection, long-acting"
insulin degludec and liraglutide,"Insulins and analogues for injection, long-acting"
phenformin,Biguanides
metformin,Biguanides
buformin,Biguanides
glibenclamide,Sulfonylureas
chlorpropamide,Sulfonylureas
